"LBDTGNSI.Code.or.Value","LBDTGNSI.Value.Description","LBDTGNSI.Count","LBDTGNSI.Cumulative","LBDTGNSI.Skip.to.Item"
"0.07 to 395.21","Range of Values",1966,1966,NA
".","Missing",211,2177,NA
