"OHQ680.Code.or.Value","OHQ680.Value.Description","OHQ680.Count","OHQ680.Cumulative","OHQ680.Skip.to.Item"
"1","Very often",234,234,NA
"2","Fairly often",152,386,NA
"3","Occasionally",260,646,NA
"4","Hardly ever, or",319,965,NA
"5","Never?",3846,4811,NA
"7","Refused",0,4811,NA
"9","Don't know",2,4813,NA
".","Missing",4957,9770,NA
