"AUXRR264.Code.or.Value","AUXRR264.Value.Description","AUXRR264.Count","AUXRR264.Cumulative","AUXRR264.Skip.to.Item"
"-14 to 132","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
